"Feature combination of this file:";"Greek-c-1"
"Beginning of first training text (1John) is:";"<U+03BF>  -     -  <U+03B7>  -  <U+03BD>  -     -  <U+03B1>  -  <U+03C0>  -     -  <U+03B1>  -  <U+03C1>"
"Beginning of first test text (Ephesians) is:";"<U+03C0>  -  <U+03B1>  -  <U+03C5>  -  <U+03BB>  -  <U+03BF>  -  <U+03C2>  -     -  <U+03B1>  -  <U+03C0>  -  <U+03BF>"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"canberra";0.25;0.9;0.25;0.45;0.4;0.4;0.3;0.5;0.3;0.5;0.15;0.65;0;0;0.28;0.5
"cosine";0.5;0.9;0.3;0.55;0.2;0.55;0;0;0;0;0;0;0;0;0.25;0.55
"entropy";0.5;0.9;0.3;0.5;0.3;0.5;0.35;0.5;0.15;0.7;0;0;0;0;0.275;0.55
"canberra";0.5;0.9;0.1;0.7;0;0;0;0;0;0;0;0;0;0;0.1;0.7
"cosine";0.75;0.9;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.75;0.9;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.75;0.9;0.45;0.5;0.4;0.6;0.15;0.8;0;0;0;0;0;0;0.333333333333333;0.633333333333333
"cosine";0.9;0.9;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"entropy";0.9;0.9;0.15;0.8;0;0;0;0;0;0;0;0;0;0;0.15;0.8
"canberra";0.9;0.9;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0.25;0.75
