"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Hebrews";0.06;0.4;0.14;0.06;0.76
"Mark16_9-20";0.14;0.42;0.7;0.22;0.26
"John7_53-8_11";0.24;0.2;0.16;0.3;0.58
"Romans16_25-27";NA;0;0;0.1;0.72
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.5;0.5;0.35;0.525
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.16;0.18;0.02;0.02;0.9
"Colossians";0.2;0.32;0;0;0.82
"2Thessalonians";0.02;0.24;0;0.04;1
"1Timothy";0.06;NA;0.08;0.24;0.68
"2Timothy";0.02;NA;0.04;0.06;0.9
"Titus";0.12;0.26;0;0.06;0.72
"Hebrews";0.02;NA;0;0.08;0.86
"Mark16_9-20";0.06;NA;0.86;0.28;0
"John7_53-8_11";0.08;NA;0.24;0.24;0.3
